model,dataset,budget_pct,dynamic_score_pct,static_score_pct,dense_score_pct,dynamic_minus_static_pp,dynamic_minus_dense_pp,token_reduction_pct,flop_reduction_pct,gate_ok,n,path
llava15,textvqa,75,53.48,57.39,57.65,-3.91,-4.17,21.74,22.3,True,5000,results/final_scope/llava15/textvqa/dynamic_which_final_textsim_p75_ocr_on.json
llava15,vqav2,15,68.33,73.36,77.33,-5.03,-9.0,80.72,81.19,True,25000,results/final_scope/llava15/vqav2/dynamic_which_final_textsim_p15.json
llava15,vqav2,25,70.03,75.55,77.33,-5.52,-7.3,71.16,71.79,True,25000,results/final_scope/llava15/vqav2/dynamic_which_final_textsim_p25.json
llava15,vqav2,35,71.32,76.13,77.33,-4.81,-6.01,61.61,62.33,True,25000,results/final_scope/llava15/vqav2/dynamic_which_final_textsim_p35.json
llava15,vqav2,50,73.14,76.94,77.33,-3.8,-4.19,47.44,48.21,True,25000,results/final_scope/llava15/vqav2/dynamic_which_final_textsim_p50.json
llava15,vqav2,75,75.72,77.31,77.33,-1.59,-1.61,23.72,24.28,True,25000,results/final_scope/llava15/vqav2/dynamic_which_final_textsim_p75.json
qwen25vl7b,docvqa,15,33.09,29.9,94.76,3.19,-61.67,82.19,82.88,True,5349,results/final_scope/qwen25vl7b/docvqa/dynamic_which_final_textsim_p15_instruction_on.json
qwen25vl7b,docvqa,25,46.57,49.55,94.76,-2.98,-48.19,72.51,73.44,True,5349,results/final_scope/qwen25vl7b/docvqa/dynamic_which_final_textsim_p25_instruction_on.json
qwen25vl7b,docvqa,35,57.53,68.86,94.76,-11.33,-37.23,62.86,63.95,True,5349,results/final_scope/qwen25vl7b/docvqa/dynamic_which_final_textsim_p35_instruction_on.json
qwen25vl7b,docvqa,50,71.36,84.79,94.76,-13.43,-23.4,48.34,49.51,True,5349,results/final_scope/qwen25vl7b/docvqa/dynamic_which_final_textsim_p50_instruction_on.json
qwen25vl7b,docvqa,75,88.04,93.98,94.76,-5.94,-6.72,24.18,25.03,True,5349,results/final_scope/qwen25vl7b/docvqa/dynamic_which_final_textsim_p75_instruction_on.json
qwen25vl7b,gqa,15,53.45,56.04,60.96,-2.59,-7.51,76.28,76.56,True,12578,results/final_scope/qwen25vl7b/gqa/dynamic_which_final_textsim_p15.json
qwen25vl7b,gqa,25,55.97,58.77,60.96,-2.8,-4.99,67.37,67.71,True,12578,results/final_scope/qwen25vl7b/gqa/dynamic_which_final_textsim_p25.json
qwen25vl7b,gqa,35,57.47,59.99,60.96,-2.52,-3.49,58.34,58.71,True,12578,results/final_scope/qwen25vl7b/gqa/dynamic_which_final_textsim_p35.json
qwen25vl7b,gqa,50,58.87,60.53,60.96,-1.66,-2.09,44.91,45.29,True,12578,results/final_scope/qwen25vl7b/gqa/dynamic_which_final_textsim_p50.json
qwen25vl7b,gqa,75,60.17,60.85,60.96,-0.68,-0.79,22.44,22.71,True,12578,results/final_scope/qwen25vl7b/gqa/dynamic_which_final_textsim_p75.json
qwen25vl7b,textvqa,15,60.56,53.06,81.06,7.5,-20.5,77.98,78.65,True,5000,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p15_ocr_on.json
qwen25vl7b,textvqa,25,67.53,59.17,81.06,8.36,-13.53,68.81,69.64,True,5000,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p25_ocr_on.json
qwen25vl7b,textvqa,35,71.36,63.57,81.06,7.79,-9.7,59.61,60.56,True,5000,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p35_ocr_on.json
qwen25vl7b,textvqa,50,76.08,70.14,81.06,5.94,-4.98,45.86,46.84,True,5000,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p50_ocr_on.json
qwen25vl7b,textvqa,75,79.8,78.43,81.06,1.37,-1.26,22.94,23.63,True,5000,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p75_ocr_on.json
qwen25vl7b,vqav2,15,73.55,76.16,84.27,-2.61,-10.72,76.74,77.01,True,25000,results/final_scope/qwen25vl7b/vqav2/dynamic_which_final_textsim_p15.json
